Ward,Name,opening_hour,Opening time,Post_code,Address
,Mardyke Community Association,6,,RM13 8PJ,Mardyke Social Centre South Street Rainham RM13 8PJ
,Moor Lane Church,1.5,,RM14 1HN,226 Moor Lane Cranham RM14 1HN
,Myplace,87.5,,RM3 9EN,343 Dagnam Park Drive Harold Hill RM3 9EN
,RAFA Club,25.5,,RM2 5AA,18 Carlton Road Romford RM2 5AA
,Romford Baptist Church and Hall,49,,RM1 3BL,Main Road Romford RM1 3BL
,Romford Care Centre,2,,RM3 8HW,107 Neave Crescent Harold Hill  RM3 8HW
,Rush Green Community Association,2,,RM7 0LB,Rush Green Gardens Rush Green Road Romford RM7 OLB
,Saint George's Church and Centre,15,,RM3 8HX,Chippenham Road RM3 8HX
,Salvation Army Centre (Harold Hill),8,,RM3 9PP,Petersfield Avenue Harold Hill RM3 9PP
,St. John and St. Matthews Church Hall,2,,RM13 7XT,South End Road Rainham RM13 7XT
,St. Luke's Church,1.5,,RM14 1LD,201 Front Lane Upminster RM14 1LD
,The ROYALS Centre,4.5,,RM13 9YG,Viking Way Rainham RM3 9YG
,YMCA Romford,12,,RM7 0PH,29 Rush Green Road Romford RM7 0PH
Hillingdon,Botwell Green Library,56,,UB3 2HW,East Avenue Hayes UB3 2HW
,Charville Library,44,,UB4 8LF,Bury Avenue Hayes UB4 8LF
,Christ Church,12,,UB8 1SZ,"Redford Way, Uxbridge. UB8 1SZ"
,Coldharbour Lane Church,3,,UB3 3HG,136 Coldharbour Lane Hayes UB3 3HG
,Eastcote Library,44,,HA5 1RL,Field End Road Eastcote HA5 1RL
,Fairfield Church,3.5,,HA6 1PD,Windsor Close Northwood Hills HA6 1PD
,Harefield Library,43.5,,UB9 6BJ,Park Lane Harefield UB9 6BJ
,Harlington Library,43.5,,UB3 1PB,Pinkwell Lane Hayes UB3 1PB
,Hayes End Library,44,,UB4 8JQ,Uxbridge Road Hayes End UB4 8JQ
,Hayes Town Chapel,2,,UB3 2JP,Hayes Town Chapel St. Mary's Road Hayes UB3 2JP
,Hillingdon Park Baptist Church,20,,UB10 9LS,25 Hercies Road Hillingdon UB10 9LS
,Ickenham Library,44,,UB10 8RE,Community Close / Long Lane Ickenham UB10 8RE
,Manor Farm Library,45.5,,HA4 7SU,Manor Farm Site Bury Street Ruislip HA4 7SU
,Northwood Hills Library (Potter Street),44,,HA6 1QQ,Potter Street Northwood HA6 1QQ
,Northwood Library (Oaklands Gate),44,,HA6 3AA,Oaklands Gate Northwood HA6 3AA
,Northwood Methodist Church,2.5,,HA6 3AA,Oaklands Gate Northwood HA6 3AA
,Oak Farm Library,54,,UB10 9PB,Sutton Court Road Hillingdon UB10 9PB
,Ruislip Manor Library,58,,HA4 8TW,Linden Avenue Ruislip Manor HA4 8TW
,South Ruislip Christian Fellowship,2,,HA4 6SR,2 Deane Ave Ruislip HA4 6SR
,South Ruislip Library,44,,HA4 0JE,Victoria Road South Ruislip HA4 0JE
,St Margaret's Church,5.5,,UB8 1UT,Windsor Street Uxbridge UB8 1UT
,Uxbridge Library,55,,UB8 1HD,High Street Uxbridge UB8 1HD
,Waterloo Road Church,37.5,,UB8 2QX,"Waterloo Rd, Uxbridge UB8 2QX"
,West Drayton Library,44,,UB7 7JS,"Station Rd, West Drayton UB7 7JS"
,Yeading Library,44,,UB4 0EW,"Yeading Ln, Hayes UB4 0EW"
,Yiewsley Library,46,,UB7 7BE,"High St, Yiewsley UB7 7BE"
,Yiewsley Methodist Church Hall,3,,UB7 8ES,"Fairfield Rd, Yiewsley UB7 8ES"
Westminster,Central London Youth Development Trust,3,Open every Friday from 11:30am to 2:30pm.,NW8 8SR,"Greenside Community Centre, Lilestone Street, London, NW8 8SR"
,Middle Eastern Women and Society Organisation,3,Saturday from 12pm to 3pm.,NW8 8HJ,"Derry House, Church St Estate, London, NW8 8HJ"
,The Mosaic Community Trust,3,Mondays from 10:30am to 1:30pm.,NW8 8D.,"The Portman Early Years Centre, 12 -15 Salisbury Street, NW8 8D."
,Queen's Park Bangladesh Association,84,Thursdays from 6pm and Sundays from 1pm.,W10 4QH.,"71 Ilbert St, London W10 4QH."
,Kulan Somali Organisation,84,Thursdays.,W10 4QA.,"Queen's Park community hall, Droop Street, W10 4QA."
,Community For All (C4A) CIC,15,Thursdays from 6pm to 9pm.,W9 3RU.,"472 Harrow Road, W9 3RU."
,Queen's Park Club,11.5,"Queen's Park Club provides hot meals on weekdays, weekends and evenings",W10 4QJ.,"The Hut, Queen's Park Garden, London, W10 4QJ."
,Sunahs Crisis Team CIC,84,,W10 4QA.,"Queens Park Court Community Hall, Droop Street, W10 4QA."
,Marylebone Bangladesh Society,6,Mondays from 5 to 8pm and Fridays 5 to 8pm,NW8 8ER.,"19 Samford St, London NW8 8ER."
,Make it Happen,6,Thursdays from 10am to 3pm.,NW8 8SU.,"4 Lilestone St, London NW8 8SU."
,London Tigers,3,Wednesdays from 10am to 1pm.,W9 3AZ,"WECH Community Centre, Selbourne House, 36A Elgin Avenue,"
,Grand Junction,49,,W2 5TF,"Rowington Cl, London W2 5TF"
,Queen's Park Library,55.5,open Monday to Saturday,W10 4NE,"666 Harrow Rd, London W10 4NE"
,Queen's Park Children's Centre,35,,W9 3AL,"88 Bravington Rd, London W9 3AL"
,Maida Vale Library,55.5,open Monday to Saturday,W9 2QT,"Maida Vale Library, Sutherland Avenue, London W9 2QT"
,North Paddington Youth Club,15,,W9 1EA,"229 Lanark Road, W9 1EA"
,Happy Lizzy Event Planning (HELP),3,Activities take place on Fridays after school between 3.30pm and 6.30pm.,W9 3EW,"Lydford Community Hall, 74 Fernhead Road, W9 3EW"
,Maida Hill Place,12,"Monday lunchtimes, midday to 2.00 pm Weekends, Sunday 14 January, 1pm to 3pm, Sunday 28 January, 1pm to 3pm (TBC), Sunday 12 February, 1pm to 3pm, Sunday 26 February, 1pm to 3pm (TBC), Sunday 12 March, 1pm to 3pm, Sunday 26 March, 1pm to 3pm, They are also running a soup stall on Tuesdays at Maida Hill Market from 2pm to 3pm.",W9 3AZ,"Wech Community Hall, Selbourne House, 36A Elgin Avenue London, W9 3AZ"
,Church Street Library,54.5,,NW8 8EU,"67 Church St, London NW8 8EU"
,The Portman Family Hub,50,,NW8 8DE,"12 Salisbury St, London NW8 8DE"
,Marylebone Library,63,,W1G 9UQ,"9-11 New Cavendish St, London W1G 9UQ"
,Feathers Youth Centre,60,,NW1 6NX,"12 Rossmore Road, London, NW1 6NX"
,St John's Wood Library,59,,NW8 6PD,"20 Circus Rd, London NW8 6PD"
,The Avenues Youth Project,53,,W10 4RS,"3-7 Third Ave, London W10 4RS"
,Penfold Community Hub,40,,NW8 8PJ,"60 Penfold St, London NW8 8PJ"
,Paddington Library and Children's Library,41.5,,W2 5EA,"Westbourne Park Baptist Church, Westbourne Park Villas, London W2 5EA"
,Fitzrovia Community Centre,76,,W1W 6DL,"Fitzrovia Community Centre, 2 Foley St, London W1W 6DL"
,The Photographers' Gallery,59,,W1F 7LW,"16-18 Ramillies St, London W1F 7LW"
,London Advocacy Group,32.5,,WC2N 5BW,"1, Trafalgar Square, Northumberland Ave, London WC2N 5BW"
,St. Vincent's Family Project,37.5,,SW1H 9NH,"Methodist Central Hall, Storey's Gate, London SW1H 9NH"
,Westminster Chapel,6.5,,SW1E 6BS,"Buckingham Gate, London SW1E 6BS"
,Mayfair Library,43.5,,W1K 2PB,"25 S Audley St, London W1K 2PB"
,Charing Cross Library,57.5,,WC2H 0HF,"4-6 Charing Cross Rd, London WC2H 0HF"
,Westminster Music and Reference Library,57,,WC2H 7HP,"35 St Martin's St, London WC2H 7HP"
,Royal Academy of Arts,51,,W1J 0BD,"Burlington House, Piccadilly, London W1J 0BD"
,Royal Opera House,42,,WC2E 9DD,"Bow St, London WC2E 9DD"
,National Gallery,59,,WC2N 5DN,"Trafalgar Square, London WC2N 5DN"
,Institute of Contemporary Arts,54,,SW1Y 5AH,"The Mall, St. James's, London SW1Y 5AH"
,Victoria Library,56,,SW1W 9TR,"160 Buckingham Palace Rd, London SW1W 9TR"
,Somerset House,63,,WC2R 1LA,"Strand, London WC2R 1LA"
,Royal Albert Hall,84,,SW7 2AP,"Kensington Gore, South Kensington, London SW7 2AP"
,South Westminster Community Choir,44.5,,SW1V 2PS,"Off Thorndike St, Moreton St, Lillington and Longmoore Gardens, London SW1V 2PS"
,Pimlico Library,64,,SW1V 3AT,"Lupus St, Pimlico, London SW1V 3AT"
,Clear Village Charitable Trust,45,,SW1V 1TA,"Block A Peabody Vauxhall Estate, Vauxhall Bridge Rd, London SW1V 1TA"
,Open Age,3,,SW1V 2RT,"1 Carey Pl, London SW1V 2RT"
,Churchill Gardens Youth Club,9,,SW1V 3DL,"Churchill Gardens Rd, Pimlico, London SW1V 3DL"
,Westminster Bangladeshi Welfare Trust,3,,SW1V 4LP,"Sherbourne House, Lower ground floor, Winchester Street, SW1V 4LP"
,Bessborough Family Hub,40,,SW1V 2JD,"Bessborough Nursery, 1 Bessborough St, London SW1V 2JD"
,St Andrew's Club,60,,SW1P 2DG,"Alec Wizard House, 12 Old Pye St, London SW1P 2DG"
,The Abbey Centre,76,,SW1P 3BU,"34 Great Smith St, London SW1P 3BU"
,Sport4Health,56,,SW1V 3AA,"St Gabriel's Parish House, Glasgow Terrace, Pimlico, London SW1V 3AA"
Wandsworth,Ascension Church Hall,40,"Monday to Friday, 8.30am to 4.30pm",SW12 8QY,"23 Malwood Road, London, SW12 8QY"
,St Luke's Church,3,Wednesday 10.30am to 1.30pm,SW12 8RQ,"Ramsden Road, London, SW12 8RQ"
,St Marks Church Hall,3,Monday 11am to 2pm,SW17 7AP,"Rowfant Road, London, SW17 7AP"
,St Mary and St John the Divine,4,"Wednesday 10am to 12 noon, Saturday 10am to 12 noon",SW12 9BS,"Balham High Road, London, SW12 9BS"
,Church of the Ascension,2.5,Wednesday 1.30 to 4pm,SW11 5RB,"Lavender Hill, London SW11 5RB"
,Cromwell House,26,"Council-run Enable Leisure and Culture. Monday, Wednesday and Friday 4 to 7pm  Cromwell House Community Hub. Monday, Wednesday, Saturday and Sunday 4 to 7pm, Begin2Sports Group Academy C.I.C. Thursday 12 noon to 3.15pm, Agoe Empowerment Network Ltd.  Friday 11am to 1pm",SW11 5HW,"Charlotte Despard Avenue, London, SW11 5HW"
,Devas Club,25,"Monday to Friday, 4 to 6pm (8 to 11 year olds), Monday to Friday, 6 to 9pm (11 to 19 year olds)",SW11 5EN,"2A Stormont Road, London, SW11 5EN"
,Kambala Community Centre,40,TBA - opening 4 January 2023,SW11 2LU,"126 Fawcett Close, London, SW11 2LU"
,S.T.O.R.M Family Centre,12,"Wednesday 1 to 5pm, Thursday 1 to 5pm, Saturday 11am to 3pm",SW11 5JF,"61 Strasburg Road, London, SW11 5JF"
,York Gardens Children's Centre,35,"Monday to Friday, 9am to 4pm",SW11 2UG,"Lavender Road, Clapham Junction, London, SW11 2UG"
,York Gardens Library and Community Centre,2,Thursday 10.30am to 12.30pm,SW11 2UG,"34 Lavender Road, London, SW11 2UG"
,Earlsfield Baptist Church,3,Sunday 1 to 4pm,SW18 3NZ,"271 Magdalen Road, London, SW18 3NZ"
,Home Community Cafe,12.5,"Tuesday 9am to 4pm, Wednesday 10.30am to 4pm",SW18 4SR,"St Andrew's Church, Garratt Lane, London, SW18 4SR"
,ROSE Community Clubroom,10,Monday 10am to 8pm,SW8 4AN,"22 Ascalon Street, London, SW8 4AN"
,Yvonne Carr Children's Centre,37.5,"Monday to Friday, 9am to 4.30pm",SW8 4HT,"2 Thessaly Road, Nine Elms, London, SW8 4HT"
,Eastwood Children's Centre,37.5,"Monday to Friday, 9am to 4.30pm",SW15 4HR,"166 Roehampton Lane, Roehampton, London, SW15 4HR"
,Ackroydon Community Hall,2,Monday 1 to 3pm,SW19 6QL,"Montfort Place, London, SW19 6QL"
,Brathway Hall,5,Tuesday 10am to 3pm,SW18 4BE,"Brathway Road, London, SW18 4BE"
,Open Door Community Centre,6,Tuesday and Thursday 4 to 7pm,SW19 6TF,"Beaumont Road, London, SW19 6TF"
,St Michael's & All Angels Church,2,Wednesday 12 noon to 2pm,SW18 5TT,"71 Wimbledon Park Road, London, SW18 5TT"
,All Saints Church Centre,4,"Tuesday, 10am to 12 noon, Thursday, 10am to 12 noon",SW17 8DQ,"80 Franciscan Road, SW17 8DQ"
,Franciscan Children's Centre,37.5,"Monday to Friday, 9am to 4.30pm",SW17 8HQ,"221 Franciscan Road, Tooting, London, SW17 8HQ"
,Holy Trinity Church,6,"Monday 2 to 4pm (Homeless Support Cafe), Wednesday 12 noon to 4pm (opening 7 December 2022)",SW17 7RH,"74 Trinity Road, London, SW17 7RH"
,Smallwood Children's Centre,37.5,"Monday to Friday, 9am to 4.30pm",SW17 0TW,"Smallwood Primary School, Smallwood Road, London, SW17 0TW"
,St Albans Church Hall,1.5,Wednesday 10.30am to 12 noon,SW16 6RR,"Pretoria Road, London, SW16 6RR"
,St Augustine's Church,4,Thursday 12 noon to 4pm,SW17 0EF,"16 Broadwater Road, London, SW17 0EF"
,The Furzedown Project,10,"Wednesday 1 to 4pm, Monday 11am to 1pm, Wednesday 11.30am to 1.30pm, Friday 2 to 4pm, Saturday 1 to 4pm",SW16 6SJ,"91-93 Moyser Road, London, SW16 6SJ"
,Tooting Community Kitchen,3,Wednesday 1 to 4pm,SW17 9PP,"19 Church Lane, London, SW17 9PP"
,East Hill Baptist Church,7,"Tuesday: 10am to 2pm, Wednesday: 10am to 1pm",SW18 2HD,"182 East Hill, London, SW18 2HD"
,Gwynneth Morgan Day Centre,5,"Monday to Friday, 9.15 to 10.15am (From Monday 27 February)",SW18 2HJ,"52 East Hill, London, SW18 2HJ"
,West Hill in the Park Children's Centre,35,"Monday to Friday, 9am to 4pm",SW18 4AS,"King George's Park, Buckhold Road, Wandsworth, SW18 4AS"
Waltham Forest,Leyton Orient Trust,18,,E10 5NF,"Leyton Orient Stadium, Brisbane Road, Leyton, E10 5NF"
,Lea Bridge Library,65,"Monday to Friday 9am to 7pm, Saturday 9am to 6pm and Sunday 10am to 4pm.",E10 7HU,"Lea Bridge Road, Leyton E10 7HU"
,Pepper's Ghost,12,Thursdays and Fridays 12pm to 6pm.,E10 5AB,"777 High Road, Leyton E10 5AB"
,Cornerstone,63,Everyday,E10 6EH,"149 Canterbury Road, E10 6EH"
,St Andrew's Church,18,Mondays and Thursdays 11am to 8pm.,E11 1JD,"153 Colworth Road, E11 1JD"
,Holy Trinity and St Augustine of Hippo Church,2,Tuesday 11am to 1pm.,E11 4LD,"4 Holloway Road, Leytonstone, E11 4LD"
,Leytonstone and Wanstead Synagogue,3,Friday from 10am to 1pm,E11 3BS,"2 Fillebrook Road, E11 3BS"
,The Inconvenient Store,51,Tuesdays to Saturdays 11am to 8pm and Sundays 12pm to 6pm.,E11 4RD,"719 High Road Leytonstone, E11 4RD"
,Leytonstone Library,63,"Monday to Friday 9am to 7pm, Saturday 9am to 6pm and Sunday 12pm to 4pm.",E11 1HG,"Church Lane, E11 1HG"
,Farm Community Kitchen,23.5,,E11 3NH,"102 Cann Hall Road, E11 3NH"
,Elim Pentecostal Church,24,,E11 1EL,"Hainault Road, E11 1EL"
,St Peter in the Forest,1.5,,E17 3PP,"18 Woodford New Road, E17 3PP"
,William Morris Big Local at Priory Court Community Centre,12,Mondays and Thursdays 12pm to 6pm.,E17 5NB,"11 Priory Court, E17 5NB"
,The Mill at Coppermill,40,Tuesday to Friday from 9:30am to 5:30pm. Saturday and Sunday from 10am to 2pm.,E17 7HA,"7 Coppermill Lane, E17 7HA"
,St Barnabus and Stafford Hall,3.5,Thursdays 3pm to 6:30pm.,E17 8JY,"St Barnabus Road, E17 8JY"
,The Gleaners,8,,E17 9AH,"The Hornbeam Centre, 458 Hoe Street, E17 9AH"
,The Lloyd Park Children's Charity,4,Fridays 10am to 2pm (school term only).,E17 5JW,"The Lloyd Park Centre, Winns Avenue Entrance, Lloyd Park, E17 5JW"
,Christian Kitchen,10.5,daily between 7:30pm and 9pm,E17 7AB,"Mission Grove Car Park, E17 7AB"
,Wood Street Library,63,"Monday to Friday: 9am to 7pm, Saturday: 9am to 6pm and Sunday: 12pm to 4pm.",E17 3HB,"1 Troubridge Square, Wood Street, E17 3HB"
,Walthamstow Library,65,"Monday to Friday: 9am to 7pm, Saturday: 9am to 6pm and Sunday: 10am to 4pm.",E17 7JN,"High Street, Walthamstow, E17 7JN"
,Higham Hill Library,18,"Monday, Thursday and Friday: 10am to 6pm.",E17 5HS,"North Countess Road, Walthamstow, E17 5HS"
,Food Cycle,1.5,Thursdays 6:30 to 8pm.,E17 9RH,"St Mary's Welcome Centre, Church End, E17 9RH"
,Peabody,5.5,Wellbeing Cafe Tuesdays 12:30pm to 2:30pm and Community Pantry Tuesday 8:30am to 2pm.,E4 8YD,"The Paradox Community Centre, 3 Ching Way, E4 8YD"
,Highams Park Food Aid,15,"open Tuesday, Wednesday and Thursday at All Saints Church",E4 9QZ,"All Saints Church, Church Avenue, Highams Park, E4 9QZ"
,Chingford Library,63,"Monday to Friday 9am to 7pm, Saturday 9am to 6pm and Sunday 12pm to 4pm.",E4 7EN,"The Green, Chingford, E4 7EN"
,Hale End Library,30,"Tuesday, Wednesday and Friday 10am to 6pm. Saturday 10am to 4pm.",E4 9QD,"Castle Avenue, Highams Park, E4 9QD"
,South Chingford Community Library,24,"Monday, Tuesday, Thursday and Saturday 10am to 4pm.",E4 8LP,"265 Chingford Mount Road, E4 8LP"
,Organic Lea,13,,E4 7UH,"Hawkwood Nursery, 115 Hawkwood Crescent, E4 7UH"
Tower Hamlets,Wigram House Community Centre,5,Monday 12noon to 5pm,E14 0DA,"Wigram House Community Centre, Wades Place, E14 0DA"
,Keddlestone Walk Community Centre,3,Tuesday 10am to 1pm,E2 9QT,"Keddlestone Walk Community Centre, Hollybush Gardens, E2 9QT"
,Saltwell Street Community Centre,5,Wednesday 2 to 7pm,E14 0DZ,"Saltwell Street Community Centre, Saltwell Street, E14 0DZ"
,Glasshouse Community Centre,2,Thursday 10am to 12noon,E2 9QB,"Glasshouse Community Centre, 161 Old Ford Road, E2 9QB"
,Wynn Garrett Resource Centre Harpley Square,3,Thursday 10am to 1pm,E1 4EA,"Wynn Garrett Resource Centre Harpley Square, E1 4EA"
,Cranbrook Community Centre,3,Thursday 1 to 4pm,E2 0RB,"Cranbrook Community Centre Mace Street, E2 0RB"
,Guild Room,5,Thursday 2 to 7pm,E14 6JG,"Guild Room, Canton Street, E14 6JG"
,Tarling East Community Centre,3.5,Thursday 11.30am to 3pm,E1 2PA,"Tarling East Community Centre, 63 Martha Street, E1 2PA"
,St Matthias Community Centre,5,Sunday 2 to 7pm,E14 0EY,"St Matthias Community Centre, Woodstock Terrace, E14 0EY"
Sutton,Sutton Central Library,71.5,,SM1 1EA,"St Nicholas Way, Sutton, SM1 1EA"
,Cheam Library,40.5,,SM3 8QH,"Cheam Library, Church Road, Cheam, SM3 8QH"
,Circle Library,40.5,,SM5 1JJ,"Circle Library, Green Wrythe Lane, Carshalton SM5 1JJ"
,Library at the Life Centre,53,,SM3 9PX,"Sutton Life Centre, Alcorn Close, Sutton, SM3 9PX"
,Library at the Phoenix Centre,59,,SM6 9NZ,"Library at the Phoenix Centre, Mollison Drive, Roundshaw, Wallington, SM6 9NZ"
,Wallington Library,87,,SM6 0HY,"Wallington Library, Shotfield, Wallington, SM6 0HY"
,Westcroft Library,92,,SM5 2TG,"Westcroft Leisure Centre, Westcroft Road, Carshalton, SM5 2TG"
,Worcester Park Library,40.5,,KT4 8ES,"Worcester Park Library, Stone Place, Windsor Road, Worcester Park, KT4 8ES"
Southwark,Blackfriars Settlement,24,Monday: 2pm to 5pm Warm Hub. Tuesday: 9.30am to 2pm Warm Hub. 2pm to 4pm Forget Me Nots for older people who want to maintain their memory. Wednesday: 9.30am to 1pm Warm Hub. 1.30pm to 3.30pm. Thursday: 9.30am to 4pm. Friday: 9.30am to 4pm.,SE1 0RB,"1 Rushworth Street, SE1 0RB"
,Time and Talents,4,Monday: 10 30am to 12 30pm Wednesday: 1pm to 3pm,SE16 7NB,"T&T, Surrey Quays Shopping Centre, Redriff Road, SE16 7NB"
,Age UK Yalding Road,40,Monday to Friday: 9am to 5pm,SE16 3TY,"Healthy Living and Learning Service, 95 Southwark Park Road, Bermondsey, SE16 3TY"
,Love North Southwark,15,"Open Monday, Tuesday, Wednesday and Friday.",SE16 2EN,"4, 5 Gataker House Slippers Place, Bermondsey SE16 2EN"
,London Senior Social,5,Open Saturday 11.30am to 4.30pm.,SE1 1QQ,"11 Scovell Road, SE1 1QQ"
,St Jude's,12,Open Monday to Thursday. Monday: Coffee mornings 10am to 12 noon / Board games 1.30pm to 3.30pm. Tuesday: Coffee mornings 10am to 12 noon / Senior Citizen session 2pm to 4pm. Wednesday: Coffee mornings and storytelling 10am to 12 noon. Thursday: Soup Kitchen 12.30pm to 2.30pm ,SE1 6EZ,"St Jude's Centre, Colnbrook Street, SE1 6EZ"
,Blue Anchor Library,46,Weekly tea/coffee sessions: Tuesday 11am. Library opening times: Monday: 9am to 7pm. Tuesday: 9am to 7pm. Wednesday: closed. Thursday: 9am to 7pm. Friday: 10am to 6pm. Saturday: 9am to 5pm. Sunday: closed,SE16 3UQ,"Market Place, SE16 3UQ"
,Canada Water Library,72,Weekly tea/coffee sessions: Thursday 11.30am. Library opening times: Monday: 8am to 8pm. Tuesday: 8am to 8pm. Wednesday: 8am to 8pm. Thursday: 8am to 8pm. Friday: 8am to 8pm. Saturday: 9am to 5pm. Sunday: 12noon to 4pm,SE16 7AR,"21 Surrey Quays Rd, SE16 7AR"
,John Harvard Library,58,"Weekly tea/coffee sessions: Tuesday 11am. Monthly archivist talks 2pm on: 8 November, 13 December, 17 January, 21 February, 21 March. Library opening times: Monday: 9am to 7pm. Tuesday: 9am to 7pm. Wednesday: 9am to 7pm. Thursday: 9am to 7pm. Friday: 9am to 7pm. Saturday: 9am to 5pm",SE1 1JA,"211 Borough High St, SE1 1JA"
,Tate Modern,56,"Open 10am to 6pm, 7 days a week",SE1 9TG,"Tate Modern Bankside, SE1 9TG"
,Bermondsey and Rotherhithe Children and Family Centres,2,Open Tuesdays from 10am to 12 noon,SE16 2PE,"Park Lodge, Hawkstone Rd, London SE16 2PE"
,Haddon Hall Baptist Church,2,Open every Wednesday from 10am to 12pm.,SE1 4TR,"22 Tower Bridge Rd, London SE1 4TR"
,The RJ4ALL Rotherhithe Community Centre,42.5,"Monday to Friday 9:30am to 5:30pm. Tuesdays food bank and clothes mending 11am to 2pm, cafe connect 2pm. Thursday lates (coffee tea and music session 5pm, step class 6.15pm) until 8pm.",SE16 2LJ,"Rotherhithe Community Centre, 30 Plough Way, SE16 2LJ"
,The Bridge,7,Every Wednesday from 10am to 5pm,SE1 0NQ,"73-81 Southwark Bridge Road, SE1 0NQ"
,London LGBTQ+ Community Centre,40,"Wednesday to Sunday, 12 noon to 8pm.",SE1 9JH,"60-62 Hopton Street, SE1 9JH"
,Southwark Pensioners,12.5,"Thursday and Friday afternoons from 12.15pm to 5pm and alternate Saturdays 10am to 4pm. Social Thursday, Feelgood Friday, and sharing Saturday.",SE5 0HQ,"Southwark Pensioners Centre, 305-307 Camberwell Rd, SE5 0HQ"
,Copleston Centre,4,Soup Socials' will operate from 12pm to 2pm on Mondays.,SE15 4AN,"Copleston Centre, Copleston Road, Peckham SE15 4AN"
,Southwark Carers,40,Our Carers Cafe will be open every Friday for cared for residents of Southwark.,SE5 0EN,"3rd Floor, Walworth Methodist Church, 54 Camberwell Road, SE5 0EN"
